"paper_id","source","mode","agent","pipeline_field","mapped_field","extracted_value","was_extracted"
"PXD043500","","strict","Biological","cell_line","cell_line","KLE, HEC-1 A, SPEC-2, 293T, CT26","True"
"PXD043500","","strict","Biological","species","species","Escherichia coli","True"
"PXD043500","","strict","ExperimentalDesign","factor_value","factor_value","kinase (LATS2), substrate (STAT1)","True"
"PXD043500","","strict","Technical","acquisition_method","acquisition_method","data-dependent acquisition","True"
"PXD043500","","strict","Technical","fragmentation","fragmentation","beam-type collision-induced dissociation","True"
"PXD043500","","strict","Technical","instrument","instrument","Q Exactive","True"
"PXD043500","","strict","Technical","label","label","label free","True"
"PXD043500","","strict","Technical","mass_analyzer","mass_analyzer","Orbitrap","True"
"PXD043500","","strict","Technical","modification","modification","phosphorylated residue | ubiquitinylation residue (CKST) | Iodoacetamide derivative (CDEHKMSTUY,N-term) | Oxidation or Hydroxylation (CDEFHIKLMNPQRSTUVWY,C-term)","True"
"PXD043500","","strict","Technical","reduction_reagent","reduction_reagent","dithiothreitol","True"
