annotator_a,annotator_b,pair_category,n_shared_docs,kappa
Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,0.7495769881556683
Annotator1,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.5598980458793544
Annotator1,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.6340447683498178
Annotator1,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.6302521008403361
Annotator1,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.28583593528242995
Annotator1,Annotator8,MultiHuman annotator vs. MultiHuman annotator,3,0.6425459367304414
Annotator2,Annotator3,MultiHuman annotator vs. MultiHuman annotator,2,0.6027607361963192
Annotator2,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.3602305475504322
Annotator2,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,0.6597701149425288
Annotator2,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.5765588003157064
Annotator2,Annotator7,MultiHuman annotator vs. MultiHuman annotator,4,0.5444797458300239
Annotator2,Annotator8,MultiHuman annotator vs. MultiHuman annotator,5,0.702572347266881
Annotator3,Annotator4,MultiHuman annotator vs. MultiHuman annotator,1,0.32053422370617696
Annotator3,Annotator5,MultiHuman annotator vs. MultiHuman annotator,4,0.5991666666666667
Annotator3,Annotator6,MultiHuman annotator vs. MultiHuman annotator,4,0.5600656006560065
Annotator3,Annotator7,MultiHuman annotator vs. MultiHuman annotator,2,0.45235892691951896
Annotator3,Annotator8,MultiHuman annotator vs. MultiHuman annotator,5,0.5343058155295941
Annotator4,Annotator5,MultiHuman annotator vs. MultiHuman annotator,2,0.36264732547597445
Annotator4,Annotator6,MultiHuman annotator vs. MultiHuman annotator,1,0.14260249554367194
Annotator4,Annotator7,MultiHuman annotator vs. MultiHuman annotator,2,0.41488372093023257
Annotator4,Annotator8,MultiHuman annotator vs. MultiHuman annotator,1,0.3874172185430464
Annotator5,Annotator6,MultiHuman annotator vs. MultiHuman annotator,2,0.7019562715765245
Annotator5,Annotator7,MultiHuman annotator vs. MultiHuman annotator,2,0.47411167512690366
Annotator5,Annotator8,MultiHuman annotator vs. MultiHuman annotator,2,0.6768558951965067
Annotator6,Annotator7,MultiHuman annotator vs. MultiHuman annotator,2,0.30841121495327123
Annotator6,Annotator8,MultiHuman annotator vs. MultiHuman annotator,2,0.4468922108575924
Annotator7,Annotator8,MultiHuman annotator vs. MultiHuman annotator,2,0.6699107866991078
GPT,Annotator1,GPT vs. any human annotator,9,0.5439070204273303
GPT,Annotator2,GPT vs. any human annotator,11,0.6330384774715502
GPT,Annotator3,GPT vs. any human annotator,10,0.46923121962644193
GPT,Annotator4,GPT vs. any human annotator,3,0.33488681757656447
GPT,Annotator5,GPT vs. any human annotator,9,0.470992780872328
GPT,Annotator6,GPT vs. any human annotator,10,0.5215037593984964
GPT,Annotator7,GPT vs. any human annotator,9,0.31737610032557584
GPT,Annotator8,GPT vs. any human annotator,11,0.5176397351944741
GPT,HarmonizedHuman,GPT vs. any human annotator,27,0.54245745415977
HarmonizedHuman,Annotator1,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.6326600479287915
HarmonizedHuman,Annotator2,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.7941027679410277
HarmonizedHuman,Annotator3,HarmonizedHuman vs. Single/MultiHuman annotator,10,0.5474483340362716
HarmonizedHuman,Annotator4,HarmonizedHuman vs. Single/MultiHuman annotator,3,0.37364648467286854
HarmonizedHuman,Annotator5,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.5566240106516753
HarmonizedHuman,Annotator6,HarmonizedHuman vs. Single/MultiHuman annotator,10,0.518918918918919
HarmonizedHuman,Annotator7,HarmonizedHuman vs. Single/MultiHuman annotator,9,0.3594838372331882
HarmonizedHuman,Annotator8,HarmonizedHuman vs. Single/MultiHuman annotator,11,0.6760901326808177
SingleHuman,Annotator1,Single human vs. MultiHuman annotator,9,0.5380832282471628
SingleHuman,Annotator2,Single human vs. MultiHuman annotator,11,0.6954276734266257
SingleHuman,Annotator3,Single human vs. MultiHuman annotator,10,0.5272911984730474
SingleHuman,Annotator4,Single human vs. MultiHuman annotator,3,0.2949356223175965
SingleHuman,Annotator5,Single human vs. MultiHuman annotator,9,0.5171913835956917
SingleHuman,Annotator6,Single human vs. MultiHuman annotator,10,0.487011952191235
SingleHuman,Annotator7,Single human vs. MultiHuman annotator,9,0.44035935846629465
SingleHuman,Annotator8,Single human vs. MultiHuman annotator,11,0.6028572858286629
SingleHuman,GPT,GPT vs. any human annotator,27,0.4907266559250516
SingleHuman,HarmonizedHuman,HarmonizedHuman vs. Single/MultiHuman annotator,27,0.8169530225936942
