category,agentic_field,canonical_field,safe_override_field,final_sdrf_columns,used_in_current_sdrf_builder,pride_cache_field_path,pride_present_in_sampled_n,sample_size,sample_source,notes,ann_metadata_labels,pride_present_in_sampled_n_recomputed,sample_size_recomputed,pride_present_fraction_recomputed,presence_count_source,hamlet_present_in_sampled_n,hamlet_present_n,existing_present_n,availability_fraction,delta_pp,ceiling_pct
biological,species,organism,species,characteristics[organism],yes,response[].organisms,100,100,HamletPXDs.csv,Primary organism label,Organism,299,299,1.0,cache_recomputed,288,288,299,0.925925925925926,-3.678929765886288,92.59259259259261
biological,tissue,organism_part,organ,characteristics[organism part]; factor value[organism part]*,yes,response[].organismParts OR response[].sampleAttributes[key.name~organism part|tissue],61,100,HamletPXDs.csv,factor value[organism part] only when variable across samples,OrganismPart,202,299,0.6755852842809364,cache_recomputed,242,242,202,0.6666666666666666,13.377926421404682,66.66666666666666
biological,disease_state,disease,disease,characteristics[disease]; factor value[disease],yes,response[].diseases,23,100,HamletPXDs.csv,,Disease,74,299,0.2474916387959866,cache_recomputed,191,191,74,0.5185185185185185,39.130434782608695,51.85185185185185
biological,cell_type,cell_type,cell_type,characteristics[cell type]*,conditional,response[].sampleAttributes[key.name~cell type],0,100,HamletPXDs.csv,Column emitted only if any value present,CellType,0,299,0.0,cache_recomputed,188,188,0,0.5185185185185185,62.876254180602004,51.85185185185185
biological,cell_line,cell_line,cell_line,characteristics[cell line]*; characteristics[cellosaurus accession]*,conditional,response[].sampleAttributes[key.name~cell line],0,100,HamletPXDs.csv,Cellosaurus accession currently filled as not available,CellLine,0,299,0.0,cache_recomputed,137,137,0,0.3333333333333333,45.819397993311036,33.33333333333333
biological,sex,sex,sex,characteristics[sex],yes,response[].sampleAttributes[key.name~sex|gender],0,100,HamletPXDs.csv,,Sex,0,299,0.0,cache_recomputed,48,48,0,0.2592592592592592,16.05351170568562,25.92592592592592
biological,age,age,age,characteristics[age],yes,response[].sampleAttributes[key.name~age],0,100,HamletPXDs.csv,,Age,0,299,0.0,cache_recomputed,67,67,0,0.1481481481481481,22.40802675585284,14.814814814814811
technical,acquisition_method,acquisition_method,acquisition_method,comment[proteomics data acquisition method],yes,response[].experimentTypes / response[].projectTags,100,100,HamletPXDs.csv,Currently sourced mainly from runAssessor/detected params,AcquisitionMethod,28,299,0.0936454849498327,restricted_to_DDA_or_DIA,283,283,28,0.6296296296296297,85.28428093645485,62.96296296296296
technical,instrument,instrument,instrument,comment[instrument],yes,response[].instruments,100,100,HamletPXDs.csv,,Instrument,299,299,1.0,cache_recomputed,288,288,299,1.0,-3.678929765886288,100.0
technical,labeling,label,label,comment[label],yes,response[].quantificationMethods,42,100,HamletPXDs.csv,,Label,117,299,0.391304347826087,cache_recomputed,256,256,117,0.5185185185185185,46.48829431438127,51.85185185185185
