field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	59	27	0	0.0	0.0	0.0
characteristics[cell line]	Biological	59	27	0	0.0	0.0	0.0
characteristics[cell type]	Biological	59	59	59	1.0	1.0	1.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	59	59	27	0.4576271186440678	0.4576271186440678	0.4576271186440678
characteristics[organism part]	Biological	59	32	0	0.0	0.0	0.0
characteristics[organism]	Biological	59	59	59	1.0	1.0	1.0
characteristics[sex]	Biological	59	59	59	1.0	1.0	1.0
characteristics[biological replicate]	ExperimentalDesign	59	27	0	0.0	0.0	0.0
comment[fraction identifier]	ExperimentalDesign	59	59	59	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	59	50	35	0.5932203389830508	0.5932203389830508	0.5932203389830508
factor value[disease]	ExperimentalDesign	59	0	0	0.0	0.0	0.0
factor value[experimental design]	ExperimentalDesign	59	0	0	0.0	0.0	0.0
comment[cleavage agent details]	Technical	0	118	0	0.0	0.0	0.0
comment[dissociation method]	Technical	59	59	59	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	59	59	0	0.0	0.0	0.0
comment[instrument]	Technical	59	59	59	1.0	1.0	1.0
comment[label]	Technical	59	59	59	1.0	1.0	1.0
comment[modification parameters]	Technical	0	295	0	0.0	0.0	0.0
comment[ms2 mass analyzer]	Technical	59	0	0	0.0	0.0	0.0
comment[precursor mass tolerance]	Technical	59	59	59	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	12	59	12	0.2033898305084746	0.2033898305084746	0.2033898305084746
technology type	Technical	59	0	0	0.0	0.0	0.0
