source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013737-Sample-1	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_05.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-2	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_07.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-3	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_09.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-4	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-5	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-6	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_14.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-7	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_28.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-8	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_29.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-9	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_30.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD013737-Sample-10	Homo sapiens	liver	normal	hepatic progenitor	WT, DBD Mut, SUMO Mut	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	HNF4α genotype (WT, DBD Mut, SUMO Mut)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	11 ppm	orbitrap	20170929_MT_Celine_90m_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
