field	category	assessed_entities	gold_entities	matched_entities	macro_precision	macro_recall	macro_f1
characteristics[age]	Biological	144	144	144	1.0	1.0	1.0
characteristics[cell line]	Biological	198	198	198	1.0	1.0	1.0
characteristics[cell type]	Biological	180	180	180	1.0	1.0	1.0
characteristics[cellosaurus accession]	Biological	0	0	0			
characteristics[disease]	Biological	180	180	180	1.0	1.0	1.0
characteristics[organism part]	Biological	0	0	0			
characteristics[organism]	Biological	198	198	198	1.0	1.0	1.0
characteristics[sex]	Biological	162	162	162	1.0	1.0	1.0
characteristics[biological replicate]	ExperimentalDesign	198	198	198	1.0	1.0	1.0
comment[fraction identifier]	ExperimentalDesign	197	197	197	1.0	1.0	1.0
comment[technical replicate]	ExperimentalDesign	0	0	0			
factor value[disease]	ExperimentalDesign	0	0	0			
factor value[experimental design]	ExperimentalDesign	0	0	0			
comment[cleavage agent details]	Technical	198	198	198	1.0	1.0	1.0
comment[dissociation method]	Technical	198	198	198	1.0	1.0	1.0
comment[fragment mass tolerance]	Technical	198	198	198	1.0	1.0	1.0
comment[instrument]	Technical	198	198	198	1.0	1.0	1.0
comment[label]	Technical	198	198	198	1.0	1.0	1.0
comment[ms2 mass analyzer]	Technical	198	198	198	1.0	1.0	1.0
comment[precursor mass tolerance]	Technical	198	198	198	1.0	1.0	1.0
comment[proteomics data acquisition method]	Technical	0	0	0			
technology type	Technical	0	0	0			
