sdrf row	source name	logical field	sdrf header	selected value	selected source	evidence	agent status	agent confidence	judge verdict	judge hallucination	judge type mismatch	judge corrected value	resolution rule	assessment state	source records
1	PXD030927-Sample-1	source_name	source name	PXD030927-Sample-1	derived								legacy_derivation	derived	[]
1	PXD030927-Sample-1	organism	characteristics[organism]	Homo sapiens	biological_agent	Human SKOV3 and IOSE80 cells were obtained from the cell bank of the Chinese Academy of Sciences (Shanghai, China).	AGREE	0.2337412983179092	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": ""Homo sapiens"", ""metadata"": {""source_field"": ""species""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""Homo sapiens""}]"
1	PXD030927-Sample-1	organism_part	characteristics[organism part]	ovary	biological_agent	Objective: Site- and structure-specific quantitative N-glycoproteomics study of differential cell-surface N-glycosylation of ovarian cancer SKOV3 cells with the non-cancerous ovarian epithelial IOSE80 cells as the control.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""tissue""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""ovary""}]"
1	PXD030927-Sample-1	disease	characteristics[disease]	ovarian cancer, normal	biological_agent	Objective: Site- and structure-specific quantitative N-glycoproteomics study of differential cell-surface N-glycosylation of ovarian cancer SKOV3 cells with the non-cancerous ovarian epithelial IOSE80 cells as the control.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""disease_state""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""ovarian cancer, normal""}]"
1	PXD030927-Sample-1	cell_type	characteristics[cell type]	epithelial cell	biological_agent	Objective: Site- and structure-specific quantitative N-glycoproteomics study of differential cell-surface N-glycosylation of ovarian cancer SKOV3 cells with the non-cancerous ovarian epithelial IOSE80 cells as the control.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_type""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""epithelial cell""}]"
1	PXD030927-Sample-1	cell_line	characteristics[cell line]	SKOV3, IOSE80	biological_agent	C18-RPLC-MS/MS (HCD with stepped normalized collision energies) was used to analyze the 1: 1 mixture of labeled intact N-glycopeptides from SKOV3 and IOSE80 cells, and the site- and structure-specific intact N-glycopeptide search engine GPSeeker was used to conduct qualitative and quantitative search on the obtained raw datasets.	LLM_ONLY	0.5	high	False	False		source_precedence:biological_agent	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_field"": ""cell_line""}, ""scope"": ""sample"", ""source"": ""biological_agent"", ""value"": ""SKOV3, IOSE80""}]"
1	PXD030927-Sample-1	assay_name	assay name	run 1	derived								legacy_derivation	derived	[]
1	PXD030927-Sample-1	technology_type	technology type	proteomic profiling by mass spectrometry	derived								legacy_derivation	derived	[]
1	PXD030927-Sample-1	acquisition	comment[proteomics data acquisition method]	NT=data-dependent acquisition;AC=PRIDE:0000627	runassessor								source_precedence:runassessor	derived	"[{""cv_accession"": null, ""cv_name"": null, ""metadata"": {""source_path"": ""runAssessor.files.PXD030927/N_glycosylation_OvarianCancer_20201216_9ug_10ul_20_30_31_TR1.mzML.spectra_stats.acquisition_type""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""DDA""}]"
1	PXD030927-Sample-1	instrument	comment[instrument]	Q Exactive	runassessor				low	True	False	Q Exactive	source_precedence:runassessor	derived	"[{""cv_accession"": ""MS:1003028"", ""cv_name"": ""Orbitrap Exploris 480"", ""metadata"": {""source_path"": ""runAssessor.files.PXD030927/N_glycosylation_OvarianCancer_20201216_9ug_10ul_20_30_31_TR1.mzML.instrument_model.name""}, ""scope"": ""assay"", ""source"": ""runassessor"", ""value"": ""Orbitrap Exploris 480""}, {""cv_accession"": null, ""cv_name"": null, ""metadata"": {}, ""scope"": ""study"", ""source"": ""technical_agent"", ""value"": ""Orbitrap Exploris 480""}]"
