source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD014528-Sample-1	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_6B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-2	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_11C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-3	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_9A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-4	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_6A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-5	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_2A.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-6	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_5C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-7	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_1B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-8	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_3C.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-9	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20140924_Q1_SA_YaAt_2i_FCS-Epi_Rv_8B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD014528-Sample-10	Mus musculus	embryonic stem cell	normal	embryonic stem cells	E14Tg2a	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap LC-MS (Thermo)	NT=Lys-C;AC=MS:1001309	not available	not available	not available	cell state (2iL, SL, EPI) and transition time points (Day 1, Day 3, Day 7)	not available	dithiothreitol	orbitrap	20141022_Q1_SA_YaAt_2i_FCS-Epi_3B.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
